MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,72.954,0,0,1.4e-05,0.935,16-13-10
0.0%,SPA,72.816,0,0,1.2e-05,0.946,16-13-10
0.0%,KP,73.384,1,0,1.2e-05,0.947,16-13-10
0.0%,PBV,73.938,1,0,4.2e-05,0.805,16-13-10
0.0%,FBI,92.609,-,0,6.6e-05,0.696,16-13-10
0.0%,APERT,93.165,-,0,1.2e-05,0.946,16-13-10
0.0%,PD,73.188,-,0,2.2e-05,0.899,16-13-10
0.0%,PEB,73.547,-,0,1.1e-05,0.949,16-13-10
50.0%,SP,76.378,6,0,1.1e-05,0.951,16-13-10
50.0%,SPA,90.78,34,0,2.8e-05,0.871,16-13-10
50.0%,KP,86.91,26,0,1.1e-05,0.95,16-13-10
50.0%,PBV,115.45,120,2,1.2e-05,0.946,16-13-8
50.0%,FBI,149.895,-,3,1.2e-05,0.946,14-12-10
50.0%,APERT,150.807,-,3,1.1e-05,0.949,14-12-10
50.0%,PD,73.346,-,1,1.6e-05,0.925,15-13-10
50.0%,PEB,73.899,-,2,3.1e-05,0.857,15-12-10
100.0%,SP,78.562,9,0,1.4e-05,0.937,16-13-10
100.0%,SPA,90.805,34,0,1.1e-05,0.951,16-13-10
100.0%,KP,90.058,33,0,3e-05,0.863,16-13-10
100.0%,PBV,120.154,130,3,1.1e-05,0.947,16-13-7
100.0%,FBI,148.902,-,3,2.3e-05,0.893,14-12-10
100.0%,APERT,151.377,-,3,1.1e-05,0.948,14-12-10
100.0%,PD,73.513,-,1,6.6e-05,0.698,15-13-10
100.0%,PEB,74.091,-,2,1.6e-05,0.926,15-12-10
175.0%,SP,77.804,9,0,1.3e-05,0.939,16-13-10
175.0%,SPA,91.702,36,0,2.8e-05,0.871,16-13-10
175.0%,KP,91.257,35,0,3.6e-05,0.832,16-13-10
175.0%,PBV,129.178,148,3,2.4e-05,0.892,16-13-7
175.0%,FBI,149.33,-,3,2.6e-05,0.878,14-12-10
175.0%,APERT,151.163,-,3,1.8e-05,0.916,14-12-10
175.0%,PD,73.427,-,1,1.2e-05,0.943,15-13-10
175.0%,PEB,73.627,-,2,1.9e-05,0.914,15-12-10
250.0%,SP,84.368,21,0,1.6e-05,0.924,16-13-10
250.0%,SPA,111.343,86,1,1.1e-05,0.949,16-13-9
250.0%,KP,117.268,86,0,1.7e-05,0.923,16-13-10
250.0%,PBV,131.722,153,3,1e-05,0.952,16-13-7
250.0%,FBI,149.12,-,3,1.1e-05,0.948,14-12-10
250.0%,APERT,151.483,-,3,4.2e-05,0.808,14-12-10
250.0%,PD,73.95,-,1,3.2e-05,0.852,15-13-10
250.0%,PEB,73.871,-,2,4.1e-05,0.812,15-12-10
