MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,45.299,0,0,1e-05,0.954,18-15
0.0%,SPA,50.13,0,0,2.2e-05,0.9,18-15
0.0%,KP,40.672,1,0,1e-05,0.954,18-15
0.0%,PBV,46.303,1,0,1e-05,0.954,18-15
0.0%,FBI,73.683,-,1,1e-05,0.954,18-14
0.0%,APERT,70.625,-,1,1e-05,0.954,18-14
0.0%,PD,45.672,-,1,1.1e-05,0.949,18-14
0.0%,PEB,50.771,-,1,1e-05,0.955,18-14
50.0%,SP,56.912,31,0,1e-05,0.955,18-15
50.0%,SPA,62.623,34,1,1.3e-05,0.942,18-14
50.0%,KP,56.363,13,0,1e-05,0.955,18-15
50.0%,PBV,72.824,119,1,1e-05,0.955,18-14
50.0%,FBI,73.428,-,1,1e-05,0.954,18-14
50.0%,APERT,70.879,-,1,1e-05,0.953,18-14
50.0%,PD,45.87,-,1,1e-05,0.955,18-14
50.0%,PEB,50.1,-,1,1e-05,0.955,18-14
100.0%,SP,56.574,33,1,1e-05,0.955,18-14
100.0%,SPA,63.022,36,1,1e-05,0.954,18-14
100.0%,KP,66.915,35,0,1e-05,0.954,18-15
100.0%,PBV,72.932,119,1,1e-05,0.954,18-14
100.0%,FBI,73.533,-,1,1e-05,0.954,18-14
100.0%,APERT,70.656,-,1,1.1e-05,0.95,18-14
100.0%,PD,45.741,-,1,1e-05,0.955,18-14
100.0%,PEB,50.448,-,1,1e-05,0.955,18-14
175.0%,SP,56.292,33,1,1e-05,0.954,18-14
175.0%,SPA,66.673,51,1,1e-05,0.955,18-14
175.0%,KP,66.432,35,0,1e-05,0.955,18-15
175.0%,PBV,85.582,137,2,1e-05,0.955,18-13
175.0%,FBI,73.285,-,1,1e-05,0.955,18-14
175.0%,APERT,70.332,-,1,1e-05,0.954,18-14
175.0%,PD,45.734,-,1,1e-05,0.954,18-14
175.0%,PEB,50.257,-,1,1e-05,0.955,18-14
250.0%,SP,56.632,33,1,1e-05,0.953,18-14
250.0%,SPA,74.157,57,1,1e-05,0.954,18-14
250.0%,KP,71.237,41,0,2.1e-05,0.904,18-15
250.0%,PBV,85.089,137,2,1e-05,0.954,18-13
250.0%,FBI,73.788,-,1,1e-05,0.955,18-14
250.0%,APERT,70.692,-,1,1e-05,0.955,18-14
250.0%,PD,45.374,-,1,1e-05,0.954,18-14
250.0%,PEB,50.084,-,1,1e-05,0.954,18-14
