MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,6.611,0,0,1e-05,0.956,30
0.0%,SPA,6.614,1,0,1e-05,0.956,30
0.0%,KP,8.771,0,0,1.1e-05,0.95,30
0.0%,PBV,5.567,4,0,1e-05,0.954,30
0.0%,FBI,15.212,-,0,1e-05,0.953,30
0.0%,APERT,15.976,-,0,1.1e-05,0.951,30
0.0%,PD,11.039,-,0,1e-05,0.953,30
0.0%,PEB,4.39,-,0,1.1e-05,0.951,30
50.0%,SP,9.207,32,0,1e-05,0.952,30
50.0%,SPA,10.723,40,1,1e-05,0.954,29
50.0%,KP,13.745,3,0,1e-05,0.952,30
50.0%,PBV,15.604,96,1,1e-05,0.954,29
50.0%,FBI,15.505,-,0,1e-05,0.955,30
50.0%,APERT,16.025,-,0,1.1e-05,0.951,30
50.0%,PD,11.493,-,0,1e-05,0.952,30
50.0%,PEB,4.306,-,0,1e-05,0.954,30
100.0%,SP,16.419,32,0,1e-05,0.952,30
100.0%,SPA,12.095,43,1,1e-05,0.954,29
100.0%,KP,13.641,3,0,1e-05,0.953,30
100.0%,PBV,15.262,96,1,1e-05,0.953,29
100.0%,FBI,15.817,-,0,1e-05,0.953,30
100.0%,APERT,15.674,-,0,1e-05,0.955,30
100.0%,PD,11.626,-,0,1e-05,0.956,30
100.0%,PEB,4.947,-,0,1.1e-05,0.952,30
175.0%,SP,17.719,32,0,1.1e-05,0.951,30
175.0%,SPA,17.767,43,1,1.1e-05,0.95,29
175.0%,KP,13.718,3,0,1.1e-05,0.952,30
175.0%,PBV,28.063,103,2,1e-05,0.954,28
175.0%,FBI,15.349,-,0,1e-05,0.954,30
175.0%,APERT,15.8,-,0,1e-05,0.955,30
175.0%,PD,11.33,-,0,1e-05,0.953,30
175.0%,PEB,5.124,-,0,1e-05,0.952,30
250.0%,SP,21.322,32,0,1e-05,0.954,30
250.0%,SPA,25.836,46,1,1e-05,0.953,29
250.0%,KP,13.774,3,0,1e-05,0.952,30
250.0%,PBV,31.76,120,2,1e-05,0.954,28
250.0%,FBI,15.728,-,0,1e-05,0.952,30
250.0%,APERT,15.336,-,0,1e-05,0.953,30
250.0%,PD,11.604,-,0,1e-05,0.953,30
250.0%,PEB,5.785,-,0,1e-05,0.952,30
