MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,57.734,0,0,2.3e-05,0.593,16-13-10
0.0%,SPA,58.469,2,0,4.4e-05,0.21,16-13-10
0.0%,KP,58.391,2,0,2.2e-05,0.609,16-13-10
0.0%,PBV,57.156,0,0,1.8e-05,0.679,16-13-10
0.0%,FBI,77.016,-,0,2.1e-05,0.62,16-13-10
0.0%,APERT,77.562,-,0,1.8e-05,0.673,16-13-10
0.0%,PD,57.312,-,0,3e-05,0.469,16-13-10
0.0%,PEB,57.375,-,0,1.8e-05,0.673,16-13-10
50.0%,SP,63.812,11,0,2.4e-05,0.564,16-13-10
50.0%,SPA,77.33,39,0,1.9e-05,0.655,16-13-10
50.0%,KP,69.203,23,0,2.7e-05,0.524,16-13-10
50.0%,PBV,110.033,142,3,2e-05,0.634,16-13-7
50.0%,FBI,76.922,-,0,2e-05,0.644,16-13-10
50.0%,APERT,77.377,-,0,2.7e-05,0.518,16-13-10
50.0%,PD,57.437,-,0,2e-05,0.634,16-13-10
50.0%,PEB,57.312,-,0,1.8e-05,0.678,16-13-10
100.0%,SP,64.203,12,0,1.9e-05,0.661,16-13-10
100.0%,SPA,97.281,90,1,3.6e-05,0.347,16-13-9
100.0%,KP,69.109,23,0,1.8e-05,0.674,16-13-10
100.0%,PBV,111.0,143,3,2e-05,0.649,16-13-7
100.0%,FBI,76.846,-,0,1.9e-05,0.66,16-13-10
100.0%,APERT,78.094,-,0,2.1e-05,0.631,16-13-10
100.0%,PD,57.562,-,0,3.9e-05,0.302,16-13-10
100.0%,PEB,57.141,-,0,1.8e-05,0.677,16-13-10
175.0%,SP,63.938,12,0,2.3e-05,0.591,16-13-10
175.0%,SPA,97.0,90,1,2.3e-05,0.588,16-13-9
175.0%,KP,69.171,23,0,2.7e-05,0.524,16-13-10
175.0%,PBV,113.257,147,3,2.4e-05,0.577,16-13-7
175.0%,FBI,77.234,-,0,3.6e-05,0.346,16-13-10
175.0%,APERT,77.516,-,0,4.9e-05,0.114,16-13-10
175.0%,PD,57.531,-,0,2e-05,0.637,16-13-10
175.0%,PEB,57.502,-,0,1.9e-05,0.668,16-13-10
250.0%,SP,65.266,14,0,2.1e-05,0.628,16-13-10
250.0%,SPA,99.565,95,1,2e-05,0.634,16-13-9
250.0%,KP,69.219,23,0,1.9e-05,0.654,16-13-10
250.0%,PBV,112.995,147,3,2e-05,0.647,16-13-7
250.0%,FBI,96.672,-,1,1.8e-05,0.67,15-13-10
250.0%,APERT,97.377,-,1,4.9e-05,0.128,15-13-10
250.0%,PD,57.297,-,0,1.8e-05,0.67,16-13-10
250.0%,PEB,57.344,-,0,2e-05,0.639,16-13-10
