MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,3.047,0,0,1e-05,0.816,18-15
0.0%,SPA,4.453,0,0,1e-05,0.818,18-15
0.0%,KP,2.578,1,0,1e-05,0.824,18-15
0.0%,PBV,2.578,1,0,1e-05,0.822,18-15
0.0%,FBI,32.453,-,1,1e-05,0.819,18-14
0.0%,APERT,33.344,-,1,1e-05,0.824,18-14
0.0%,PD,9.531,-,1,9e-06,0.833,18-14
0.0%,PEB,2.625,-,1,1e-05,0.822,18-14
50.0%,SP,6.438,8,0,1e-05,0.823,18-15
50.0%,SPA,22.109,60,1,1e-05,0.827,18-14
50.0%,KP,30.875,78,1,1e-05,0.814,17-15
50.0%,PBV,40.703,211,7,1e-05,0.822,16-10
50.0%,FBI,79.017,-,5,1e-05,0.825,16-12
50.0%,APERT,78.761,-,5,1e-05,0.82,16-12
50.0%,PD,11.437,-,2,1e-05,0.825,18-13
50.0%,PEB,3.922,-,4,1e-05,0.823,17-12
100.0%,SP,12.656,13,0,1e-05,0.816,18-15
100.0%,SPA,26.641,60,1,1e-05,0.823,18-14
100.0%,KP,30.938,78,1,1e-05,0.821,17-15
100.0%,PBV,52.437,275,9,1e-05,0.819,15-9
100.0%,FBI,86.772,-,6,1.1e-05,0.81,15-12
100.0%,APERT,90.003,-,6,1e-05,0.826,15-12
100.0%,PD,12.531,-,4,1e-05,0.823,17-12
100.0%,PEB,5.109,-,4,1e-05,0.827,17-12
175.0%,SP,12.937,13,0,1e-05,0.816,18-15
175.0%,SPA,26.368,66,1,1e-05,0.827,18-14
175.0%,KP,41.119,93,1,9e-06,0.833,17-15
175.0%,PBV,52.188,275,9,1e-05,0.822,15-9
175.0%,FBI,88.938,-,6,1e-05,0.822,15-12
175.0%,APERT,90.031,-,6,1e-05,0.824,15-12
175.0%,PD,12.503,-,4,1e-05,0.822,17-12
175.0%,PEB,5.112,-,4,1e-05,0.823,17-12
250.0%,SP,12.953,13,0,1e-05,0.824,18-15
250.0%,SPA,26.562,66,1,1e-05,0.821,18-14
250.0%,KP,45.891,110,2,1e-05,0.826,17-14
250.0%,PBV,52.891,275,9,1e-05,0.82,15-9
250.0%,FBI,88.929,-,6,1e-05,0.82,15-12
250.0%,APERT,90.062,-,6,1e-05,0.825,15-12
250.0%,PD,12.875,-,4,1e-05,0.823,17-12
250.0%,PEB,5.062,-,4,1e-05,0.823,17-12
