MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,2.937,0,0,1e-05,0.828,30
0.0%,SPA,3.467,1,0,1e-05,0.823,30
0.0%,KP,2.484,1,0,1e-05,0.817,30
0.0%,PBV,10.063,0,0,1e-05,0.825,30
0.0%,FBI,10.547,-,0,1e-05,0.828,30
0.0%,APERT,10.562,-,0,9e-06,0.832,30
0.0%,PD,6.328,-,0,1e-05,0.826,30
0.0%,PEB,6.109,-,0,9e-06,0.832,30
50.0%,SP,8.968,8,0,1e-05,0.821,30
50.0%,SPA,9.582,39,1,1e-05,0.816,29
50.0%,KP,5.031,7,0,9e-06,0.835,30
50.0%,PBV,24.822,113,2,1e-05,0.823,28
50.0%,FBI,10.575,-,0,9e-06,0.834,30
50.0%,APERT,10.562,-,0,1e-05,0.819,30
50.0%,PD,6.312,-,0,1e-05,0.82,30
50.0%,PEB,6.266,-,0,9e-06,0.831,30
100.0%,SP,9.434,8,0,1e-05,0.829,30
100.0%,SPA,9.547,39,1,1e-05,0.827,29
100.0%,KP,5.094,7,0,1e-05,0.814,30
100.0%,PBV,26.137,127,3,1e-05,0.825,27
100.0%,FBI,18.859,-,1,1e-05,0.822,29
100.0%,APERT,23.773,-,1,9e-06,0.836,29
100.0%,PD,8.391,-,1,9e-06,0.831,29
100.0%,PEB,10.769,-,1,1e-05,0.827,29
175.0%,SP,10.594,10,0,1e-05,0.827,30
175.0%,SPA,12.812,43,1,1e-05,0.822,29
175.0%,KP,8.844,9,0,1e-05,0.827,30
175.0%,PBV,26.185,127,3,1e-05,0.826,27
175.0%,FBI,18.856,-,1,1e-05,0.829,29
175.0%,APERT,23.773,-,1,9e-06,0.83,29
175.0%,PD,8.922,-,1,9e-06,0.831,29
175.0%,PEB,10.797,-,1,1e-05,0.826,29
250.0%,SP,10.97,10,0,9e-06,0.844,30
250.0%,SPA,19.531,72,2,1e-05,0.821,28
250.0%,KP,8.891,9,0,1e-05,0.824,30
250.0%,PBV,26.19,127,3,1e-05,0.815,27
250.0%,FBI,18.851,-,1,1e-05,0.825,29
250.0%,APERT,23.774,-,1,1e-05,0.823,29
250.0%,PD,9.047,-,1,9e-06,0.831,29
250.0%,PEB,10.801,-,1,1e-05,0.826,29
