MUJ,Metoda,CP,UP,UN,Dok,F1,APP
0.0%,SP,45.343,33,0,0.984,0.949,16-13-10
0.0%,SPA,51.137,46,0,0.984,0.949,16-13-10
0.0%,KP,33.459,2,0,0.984,0.949,16-13-10
0.0%,PBV,47.956,56,1,0.984,0.949,16-12-10
0.0%,FBI,57.283,-,1,0.983,0.948,16-12-10
0.0%,APERT,62.903,-,1,0.983,0.948,16-12-10
0.0%,APERTP,63.296,-,1,0.983,0.948,16-12-10
0.0%,PD,32.735,-,1,0.983,0.948,16-12-10
0.0%,PEB,32.335,-,0,0.984,0.949,16-13-10
2.5%,SP,117.43,221,0,0.983,0.946,16-13-10
2.5%,SPA,132.047,256,0,0.983,0.944,16-13-10
2.5%,KP,52.177,49,0,0.981,0.942,16-13-10
2.5%,PBV,137.472,306,3,0.982,0.946,15-12-9
2.5%,FBI,81.543,-,3,0.983,0.948,16-11-9
2.5%,APERT,107.411,-,4,0.982,0.945,16-10-9
2.5%,APERTP,93.405,-,3,0.983,0.948,16-11-9
2.5%,PD,33.03,-,2,0.981,0.943,16-11-10
2.5%,PEB,32.273,-,0,0.984,0.949,16-13-10
5.0%,SP,129.948,253,0,0.983,0.945,16-13-10
5.0%,SPA,142.153,282,0,0.981,0.949,16-13-10
5.0%,KP,51.799,49,0,0.982,0.947,16-13-10
5.0%,PBV,149.893,337,3,0.982,0.945,15-12-9
5.0%,FBI,82.085,-,3,0.983,0.949,16-11-9
5.0%,APERT,121.283,-,5,0.982,0.946,16-9-9
5.0%,APERTP,121.571,-,5,0.982,0.948,16-9-9
5.0%,PD,33.204,-,2,0.982,0.946,16-11-10
5.0%,PEB,32.382,-,0,0.984,0.949,16-13-10
7.5%,SP,131.363,257,0,0.983,0.943,16-13-10
7.5%,SPA,151.583,306,0,0.981,0.942,16-13-10
7.5%,KP,52.01,49,0,0.982,0.948,16-13-10
7.5%,PBV,153.964,348,3,0.981,0.944,15-12-9
7.5%,FBI,82.068,-,3,0.984,0.949,16-11-9
7.5%,APERT,121.314,-,5,0.983,0.948,16-9-9
7.5%,APERTP,120.937,-,5,0.982,0.946,16-9-9
7.5%,PD,33.089,-,2,0.981,0.945,16-11-10
7.5%,PEB,32.334,-,0,0.984,0.949,16-13-10
10.0%,SP,132.381,259,0,0.983,0.944,16-13-10
10.0%,SPA,156.042,317,0,0.981,0.943,16-13-10
10.0%,KP,55.155,58,0,0.981,0.942,16-13-10
10.0%,PBV,166.161,383,3,0.981,0.942,15-12-9
10.0%,FBI,104.817,-,5,0.981,0.938,15-10-9
10.0%,APERT,134.464,-,6,0.98,0.937,15-9-9
10.0%,APERTP,121.376,-,5,0.982,0.945,16-9-9
10.0%,PD,32.995,-,2,0.981,0.943,16-11-10
10.0%,PEB,32.462,-,0,0.984,0.949,16-13-10
