MUJ,Metoda,CP,UP,UN,Dok,F1,APP
0.0%,SP,33.347,68,0,0.988,0.965,30
0.0%,SPA,35.371,77,0,0.988,0.964,30
0.0%,KP,18.687,6,0,0.988,0.965,30
0.0%,PBV,34.693,74,0,0.988,0.965,30
0.0%,FBI,27.521,-,1,0.988,0.965,29
0.0%,APERT,31.605,-,1,0.988,0.965,29
0.0%,APERTP,31.8,-,1,0.988,0.964,29
0.0%,PD,16.937,-,1,0.988,0.964,29
0.0%,PEB,16.703,-,0,0.988,0.965,30
2.5%,SP,90.944,307,0,0.988,0.961,30
2.5%,SPA,139.89,433,0,0.988,0.962,30
2.5%,KP,54.421,157,0,0.989,0.963,30
2.5%,PBV,122.772,450,1,0.985,0.953,29
2.5%,FBI,47.594,-,5,0.987,0.959,25
2.5%,APERT,65.122,-,6,0.987,0.96,24
2.5%,APERTP,59.508,-,5,0.987,0.96,25
2.5%,PD,17.935,-,5,0.988,0.964,25
2.5%,PEB,17.172,-,2,0.987,0.963,28
5.0%,SP,90.404,307,0,0.988,0.961,30
5.0%,SPA,143.603,510,0,0.987,0.961,30
5.0%,KP,58.675,174,0,0.988,0.962,30
5.0%,PBV,128.051,471,1,0.986,0.953,29
5.0%,FBI,60.37,-,8,0.987,0.959,22
5.0%,APERT,77.235,-,8,0.987,0.961,22
5.0%,APERTP,77.371,-,8,0.987,0.963,22
5.0%,PD,18.128,-,6,0.988,0.965,24
5.0%,PEB,17.857,-,5,0.987,0.966,25
7.5%,SP,92.654,318,0,0.988,0.961,30
7.5%,SPA,143.151,532,1,0.987,0.965,29
7.5%,KP,64.569,197,0,0.988,0.959,30
7.5%,PBV,137.166,511,1,0.986,0.956,29
7.5%,FBI,60.364,-,8,0.987,0.96,22
7.5%,APERT,77.002,-,8,0.987,0.961,22
7.5%,APERTP,82.839,-,9,0.987,0.963,21
7.5%,PD,18.229,-,7,0.988,0.961,23
7.5%,PEB,18.176,-,6,0.987,0.962,24
10.0%,SP,97.261,337,0,0.988,0.962,30
10.0%,SPA,149.707,556,1,0.987,0.964,29
10.0%,KP,74.624,239,0,0.989,0.964,30
10.0%,PBV,141.343,528,1,0.985,0.953,29
10.0%,FBI,72.039,-,11,0.986,0.952,19
10.0%,APERT,92.834,-,11,0.986,0.957,19
10.0%,APERTP,102.004,-,13,0.985,0.96,17
10.0%,PD,19.133,-,9,0.987,0.963,21
10.0%,PEB,19.208,-,9,0.988,0.966,21
