MUJ,Metoda,CP,UP,UN,Dok,F1,APP
0.0%,SP,64.891,5,0,0.915,0.927,16-13-10
0.0%,SPA,66.631,8,0,0.894,0.904,16-13-10
0.0%,KP,70.452,13,0,0.908,0.919,16-13-10
0.0%,PBV,76.966,22,0,0.904,0.918,16-13-10
0.0%,FBI,84.195,-,0,0.915,0.926,16-13-10
0.0%,APERT,118.315,-,1,0.914,0.926,16-12-10
0.0%,APERTP,89.701,-,0,0.918,0.93,16-13-10
0.0%,PD,61.468,-,1,0.911,0.921,16-12-10
0.0%,PEB,60.935,-,0,0.914,0.926,16-13-10
2.5%,SP,194.361,184,0,0.91,0.922,16-13-10
2.5%,SPA,260.004,274,0,0.91,0.923,16-13-10
2.5%,KP,178.175,171,1,0.913,0.926,16-12-10
2.5%,PBV,264.753,341,5,0.914,0.926,14-10-10
2.5%,FBI,328.747,-,12,0.914,0.927,8-10-9
2.5%,APERT,387.872,-,12,0.912,0.924,8-10-9
2.5%,APERTP,368.952,-,11,0.904,0.915,11-9-8
2.5%,PD,66.211,-,8,0.912,0.923,12-10-9
2.5%,PEB,63.149,-,4,0.913,0.924,15-11-9
5.0%,SP,225.242,227,0,0.915,0.927,16-13-10
5.0%,SPA,260.153,274,0,0.913,0.924,16-13-10
5.0%,KP,209.651,216,2,0.914,0.927,15-12-10
5.0%,PBV,264.879,341,5,0.914,0.926,14-10-10
5.0%,FBI,345.212,-,13,0.908,0.92,8-9-9
5.0%,APERT,409.696,-,13,0.916,0.928,8-10-8
5.0%,APERTP,428.711,-,14,0.915,0.926,9-9-7
5.0%,PD,66.561,-,9,0.918,0.93,11-10-9
5.0%,PEB,64.766,-,6,0.916,0.927,14-10-9
7.5%,SP,243.122,250,0,0.905,0.917,16-13-10
7.5%,SPA,260.187,274,0,0.911,0.923,16-13-10
7.5%,KP,212.604,221,2,0.917,0.928,15-12-10
7.5%,PBV,264.557,341,5,0.911,0.923,14-10-10
7.5%,FBI,375.691,-,15,0.909,0.922,8-8-8
7.5%,APERT,447.548,-,15,0.916,0.929,8-8-8
7.5%,APERTP,465.165,-,16,0.916,0.928,8-8-7
7.5%,PD,66.729,-,9,0.908,0.92,11-10-9
7.5%,PEB,67.073,-,9,0.911,0.92,12-9-9
10.0%,SP,244.677,253,0,0.916,0.927,16-13-10
10.0%,SPA,260.184,274,0,0.903,0.916,16-13-10
10.0%,KP,233.401,249,2,0.901,0.915,15-12-10
10.0%,PBV,264.724,341,5,0.909,0.917,14-10-10
10.0%,FBI,376.01,-,15,0.91,0.925,8-8-8
10.0%,APERT,465.953,-,16,0.906,0.921,8-7-8
10.0%,APERTP,465.124,-,16,0.907,0.92,8-8-7
10.0%,PD,66.565,-,9,0.911,0.925,11-10-9
10.0%,PEB,66.725,-,9,0.919,0.931,12-9-9
