MUJ,Metoda,CP,UP,UN,Dok,F1,APP
0.0%,SP,57.244,18,0,0.917,0.928,18-15
0.0%,SPA,55.197,14,0,0.919,0.93,18-15
0.0%,KP,56.569,17,0,0.92,0.931,18-15
0.0%,PBV,74.011,79,2,0.918,0.929,16-15
0.0%,FBI,108.245,-,3,0.911,0.921,15-15
0.0%,APERT,124.244,-,3,0.918,0.929,15-15
0.0%,APERTP,124.599,-,3,0.916,0.928,15-15
0.0%,PD,47.337,-,2,0.907,0.917,16-15
0.0%,PEB,47.277,-,2,0.916,0.928,16-15
2.5%,SP,147.671,173,0,0.916,0.927,18-15
2.5%,SPA,284.146,415,3,0.916,0.928,17-13
2.5%,KP,187.955,251,3,0.916,0.928,16-14
2.5%,PBV,230.953,392,7,0.912,0.923,14-12
2.5%,FBI,218.17,-,12,0.916,0.928,10-11
2.5%,APERT,303.087,-,15,0.91,0.924,9-9
2.5%,APERTP,302.694,-,15,0.916,0.926,9-9
2.5%,PD,50.626,-,7,0.909,0.922,14-12
2.5%,PEB,48.335,-,4,0.906,0.92,16-13
5.0%,SP,179.792,228,0,0.919,0.931,18-15
5.0%,SPA,287.684,420,3,0.917,0.929,17-13
5.0%,KP,190.408,256,3,0.918,0.93,16-14
5.0%,PBV,238.866,407,7,0.915,0.926,14-12
5.0%,FBI,237.336,-,14,0.91,0.924,9-10
5.0%,APERT,302.619,-,15,0.915,0.924,9-9
5.0%,APERTP,303.16,-,15,0.916,0.927,9-9
5.0%,PD,50.613,-,7,0.913,0.924,14-12
5.0%,PEB,48.254,-,4,0.919,0.93,16-13
7.5%,SP,240.393,339,1,0.919,0.931,18-14
7.5%,SPA,288.687,423,3,0.917,0.929,17-13
7.5%,KP,199.065,271,3,0.909,0.922,16-14
7.5%,PBV,240.628,410,7,0.912,0.925,14-12
7.5%,FBI,246.366,-,15,0.911,0.924,9-9
7.5%,APERT,323.838,-,17,0.915,0.928,8-8
7.5%,APERTP,324.481,-,17,0.91,0.923,8-8
7.5%,PD,49.151,-,7,0.92,0.932,14-12
7.5%,PEB,48.57,-,4,0.907,0.916,16-13
10.0%,SP,241.376,340,1,0.916,0.929,18-14
10.0%,SPA,289.002,423,3,0.912,0.923,17-13
10.0%,KP,200.833,274,3,0.917,0.927,16-14
10.0%,PBV,240.172,410,7,0.917,0.929,14-12
10.0%,FBI,246.927,-,15,0.899,0.906,9-9
10.0%,APERT,323.688,-,17,0.912,0.924,8-8
10.0%,APERTP,324.56,-,17,0.912,0.924,8-8
10.0%,PD,50.449,-,7,0.918,0.931,14-12
10.0%,PEB,48.826,-,4,0.916,0.928,16-13
