MUJ,Metoda,CP,UP,UN,Dok,F1,APP
0.0%,SP,31.694,0,0,0.912,0.925,30
0.0%,SPA,35.064,5,0,0.915,0.927,30
0.0%,KP,38.495,13,0,0.915,0.928,30
0.0%,PBV,58.822,89,2,0.916,0.928,28
0.0%,FBI,71.151,-,3,0.916,0.928,27
0.0%,APERT,110.846,-,5,0.916,0.929,25
0.0%,APERTP,110.192,-,5,0.913,0.926,25
0.0%,PD,32.789,-,2,0.916,0.927,28
0.0%,PEB,32.255,-,1,0.91,0.921,29
2.5%,SP,154.572,278,1,0.912,0.923,29
2.5%,SPA,239.196,482,6,0.911,0.922,24
2.5%,KP,210.259,407,6,0.913,0.927,24
2.5%,PBV,218.409,493,10,0.913,0.924,20
2.5%,FBI,167.205,-,17,0.908,0.917,13
2.5%,APERT,219.792,-,17,0.91,0.921,13
2.5%,APERTP,220.216,-,17,0.913,0.925,13
2.5%,PD,38.693,-,16,0.906,0.92,14
2.5%,PEB,32.933,-,3,0.916,0.928,27
5.0%,SP,160.268,291,1,0.914,0.926,29
5.0%,SPA,242.335,492,8,0.916,0.927,22
5.0%,KP,211.279,412,6,0.914,0.927,24
5.0%,PBV,221.629,498,10,0.912,0.926,20
5.0%,FBI,172.232,-,18,0.911,0.922,12
5.0%,APERT,231.854,-,19,0.909,0.919,11
5.0%,APERTP,231.897,-,19,0.913,0.924,11
5.0%,PD,39.958,-,19,0.914,0.925,11
5.0%,PEB,33.251,-,3,0.908,0.921,27
7.5%,SP,160.522,293,1,0.919,0.93,29
7.5%,SPA,245.017,496,8,0.916,0.929,22
7.5%,KP,245.511,491,9,0.91,0.921,21
7.5%,PBV,221.731,498,10,0.912,0.924,20
7.5%,FBI,175.646,-,19,0.913,0.925,11
7.5%,APERT,232.528,-,19,0.907,0.92,11
7.5%,APERTP,231.421,-,19,0.892,0.899,11
7.5%,PD,39.726,-,19,0.908,0.918,11
7.5%,PEB,34.614,-,6,0.916,0.928,24
10.0%,SP,160.217,294,1,0.911,0.922,29
10.0%,SPA,243.544,496,8,0.911,0.922,22
10.0%,KP,245.195,492,9,0.916,0.928,21
10.0%,PBV,222.676,501,10,0.912,0.924,20
10.0%,FBI,179.86,-,20,0.909,0.92,10
10.0%,APERT,237.04,-,20,0.912,0.922,10
10.0%,APERTP,238.018,-,20,0.906,0.916,10
10.0%,PD,39.811,-,19,0.917,0.928,11
10.0%,PEB,34.472,-,6,0.915,0.929,24
