MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,62.171,0,0,0.000195,0.858,16-13-10
0.0%,SPA,62.252,1,0,0.000136,0.901,16-13-10
0.0%,KP,62.244,1,0,0.000154,0.888,16-13-10
0.0%,PBV,62.307,14,0,0.000174,0.873,16-13-10
0.0%,FBI,111.716,-,2,0.000148,0.892,16-12-9
0.0%,APERT,113.204,-,2,0.000192,0.861,16-12-9
0.0%,PD,62.766,-,1,0.000138,0.9,16-13-9
0.0%,PEB,64.468,-,2,0.000142,0.897,16-12-9
50.0%,SP,71.13,44,1,0.000136,0.901,16-13-9
50.0%,SPA,84.036,87,2,0.000143,0.896,16-13-8
50.0%,KP,97.224,88,1,0.000148,0.892,16-13-9
50.0%,PBV,84.832,179,9,0.000143,0.896,16-10-4
50.0%,FBI,157.996,-,5,0.000151,0.89,15-10-9
50.0%,APERT,160.623,-,5,0.000137,0.901,15-10-9
50.0%,PD,63.247,-,4,0.000178,0.871,16-12-7
50.0%,PEB,63.966,-,5,0.000156,0.887,16-11-7
100.0%,SP,82.597,71,2,0.000142,0.897,16-13-8
100.0%,SPA,93.701,123,4,0.0002,0.855,16-13-6
100.0%,KP,98.435,90,1,0.000327,0.763,16-13-9
100.0%,PBV,88.121,195,10,0.000341,0.753,16-9-4
100.0%,FBI,200.325,-,8,0.000151,0.89,14-10-7
100.0%,APERT,204.483,-,8,0.000181,0.868,14-10-7
100.0%,PD,63.339,-,4,0.000146,0.894,16-12-7
100.0%,PEB,63.903,-,5,0.000136,0.901,16-11-7
175.0%,SP,84.137,87,2,0.000137,0.9,16-13-8
175.0%,SPA,113.669,170,4,0.000263,0.809,16-13-6
175.0%,KP,97.887,90,1,0.000139,0.899,16-13-9
175.0%,PBV,100.257,223,11,0.00015,0.891,16-9-3
175.0%,FBI,239.506,-,11,0.000143,0.896,12-9-7
175.0%,APERT,244.853,-,11,0.000151,0.89,12-9-7
175.0%,PD,63.048,-,4,0.00016,0.884,16-12-7
175.0%,PEB,63.648,-,5,0.000137,0.9,16-11-7
250.0%,SP,83.593,87,2,0.0002,0.855,16-13-8
250.0%,SPA,130.544,218,5,0.000229,0.834,16-13-5
250.0%,KP,124.81,151,1,0.000145,0.895,16-13-9
250.0%,PBV,106.968,265,13,0.000149,0.892,16-8-2
250.0%,FBI,250.518,-,12,0.000266,0.807,11-9-7
250.0%,APERT,256.737,-,12,0.000194,0.859,11-9-7
250.0%,PD,64.984,-,4,0.000143,0.896,16-12-7
250.0%,PEB,63.799,-,5,0.000186,0.865,16-11-7
