MUJ,Metoda,CP,UP,UN,MSE,R^{2},APP
0.0%,SP,48.102,2,0,0.000164,0.881,18-15
0.0%,SPA,47.848,2,0,0.00014,0.898,18-15
0.0%,KP,47.502,0,0,0.000135,0.902,18-15
0.0%,PBV,47.325,20,0,0.000151,0.891,18-15
0.0%,FBI,78.961,-,2,0.000135,0.902,18-13
0.0%,APERT,79.778,-,2,0.000167,0.879,18-13
0.0%,PD,47.122,-,1,0.000144,0.895,18-14
0.0%,PEB,46.858,-,1,0.000137,0.901,18-14
50.0%,SP,64.542,104,2,0.000144,0.896,18-13
50.0%,SPA,72.186,140,3,0.000134,0.903,18-12
50.0%,KP,50.392,9,0,0.000135,0.902,18-15
50.0%,PBV,56.982,118,4,0.000209,0.848,18-11
50.0%,FBI,108.426,-,5,0.000296,0.785,16-12
50.0%,APERT,110.235,-,5,0.000136,0.901,16-12
50.0%,PD,47.481,-,3,0.000159,0.884,18-12
50.0%,PEB,47.769,-,3,0.000148,0.892,18-12
100.0%,SP,64.935,106,3,0.000175,0.873,18-12
100.0%,SPA,71.591,140,3,0.000139,0.899,18-12
100.0%,KP,51.758,13,0,0.000169,0.878,18-15
100.0%,PBV,57.627,136,5,0.000147,0.894,18-10
100.0%,FBI,134.239,-,8,0.000308,0.776,13-12
100.0%,APERT,137.758,-,8,0.000237,0.828,13-12
100.0%,PD,48.31,-,4,0.000173,0.875,18-11
100.0%,PEB,48.212,-,4,0.000143,0.896,18-11
175.0%,SP,68.325,117,3,0.000139,0.899,18-12
175.0%,SPA,76.826,154,4,0.000137,0.9,18-11
175.0%,KP,64.087,50,0,0.000164,0.881,18-15
175.0%,PBV,64.772,187,7,0.000159,0.884,18-8
175.0%,FBI,142.643,-,9,0.000173,0.874,13-11
175.0%,APERT,146.012,-,9,0.000146,0.894,13-11
175.0%,PD,48.22,-,5,0.000143,0.896,18-10
175.0%,PEB,48.294,-,4,0.000133,0.903,18-11
250.0%,SP,71.496,140,3,0.000181,0.869,18-12
250.0%,SPA,79.252,162,4,0.000136,0.901,18-11
250.0%,KP,90.64,151,2,0.000267,0.806,18-13
250.0%,PBV,64.531,187,7,0.000141,0.898,18-8
250.0%,FBI,142.56,-,9,0.000153,0.889,13-11
250.0%,APERT,145.733,-,9,0.000143,0.896,13-11
250.0%,PD,48.13,-,5,0.000154,0.888,18-10
250.0%,PEB,48.294,-,4,0.000171,0.876,18-11
