MUJ,Metoda,Mean1,std1,Mean2,std2,Mean3,std3
0.0%,SP,0.0,0.0,0.0,0.0,0.0,0.0
0.0%,SPA,0.6666666666666666,0.9428090415820634,0.0,0.0,0.0,0.0
0.0%,KP,0.0,0.0,0.0,0.0,0.0,0.0
0.0%,PBV,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0
0.0%,FBI,1.0,1.4142135623730951,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634
0.0%,APERT,1.0,1.4142135623730951,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634
0.0%,PD,0.0,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317
0.0%,PEB,0.0,0.0,1.0,0.0,0.6666666666666666,0.9428090415820634
50.0%,SP,2.0,2.8284271247461903,0.6666666666666666,0.9428090415820634,0.3333333333333333,0.4714045207910317
50.0%,SPA,4.0,4.242640687119285,1.6666666666666667,0.9428090415820634,0.6666666666666666,0.9428090415820634
50.0%,KP,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317
50.0%,PBV,4.666666666666667,4.4969125210773475,4.0,2.449489742783178,4.666666666666667,3.0912061651652345
50.0%,FBI,3.3333333333333335,4.714045207910316,3.6666666666666665,1.8856180831641267,2.6666666666666665,2.0548046676563256
50.0%,APERT,3.3333333333333335,4.714045207910316,3.6666666666666665,1.8856180831641267,2.6666666666666665,2.0548046676563256
50.0%,PD,3.3333333333333335,4.714045207910316,2.0,0.816496580927726,1.6666666666666667,1.699673171197595
50.0%,PEB,3.3333333333333335,4.714045207910316,2.6666666666666665,1.247219128924647,2.3333333333333335,2.0548046676563256
100.0%,SP,2.0,2.8284271247461903,1.3333333333333333,1.247219128924647,0.6666666666666666,0.9428090415820634
100.0%,SPA,4.0,4.242640687119285,1.6666666666666667,0.9428090415820634,1.6666666666666667,1.699673171197595
100.0%,KP,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317
100.0%,PBV,6.333333333333333,6.18241233033047,5.0,3.265986323710904,5.333333333333333,3.299831645537222
100.0%,FBI,3.6666666666666665,4.4969125210773475,5.0,2.943920288775949,3.6666666666666665,3.299831645537222
100.0%,APERT,3.6666666666666665,4.4969125210773475,5.0,2.943920288775949,3.6666666666666665,3.299831645537222
100.0%,PD,4.0,4.96655480858378,3.0,1.4142135623730951,1.6666666666666667,1.699673171197595
100.0%,PEB,4.0,4.96655480858378,3.0,1.4142135623730951,2.3333333333333335,2.0548046676563256
175.0%,SP,2.3333333333333335,3.2998316455372216,1.3333333333333333,1.247219128924647,0.6666666666666666,0.9428090415820634
175.0%,SPA,4.666666666666667,5.185449728701348,2.0,1.4142135623730951,1.6666666666666667,1.699673171197595
175.0%,KP,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317
175.0%,PBV,7.666666666666667,7.318166133366716,6.0,2.943920288775949,5.666666666666667,3.7712361663282534
175.0%,FBI,5.0,6.377042156569663,5.333333333333333,3.2998316455372216,4.666666666666667,4.642796092394707
175.0%,APERT,5.0,6.377042156569663,5.333333333333333,3.2998316455372216,4.666666666666667,4.642796092394707
175.0%,PD,4.0,4.96655480858378,3.3333333333333335,1.699673171197595,1.6666666666666667,1.699673171197595
175.0%,PEB,4.0,4.96655480858378,3.0,1.4142135623730951,2.3333333333333335,2.0548046676563256
250.0%,SP,2.3333333333333335,3.2998316455372216,1.3333333333333333,1.247219128924647,0.6666666666666666,0.9428090415820634
250.0%,SPA,5.0,4.96655480858378,2.0,1.4142135623730951,2.3333333333333335,1.8856180831641267
250.0%,KP,0.0,0.0,1.3333333333333333,0.9428090415820634,0.3333333333333333,0.4714045207910317
250.0%,PBV,8.0,7.788880963698615,6.0,2.943920288775949,6.333333333333333,4.714045207910317
250.0%,FBI,5.333333333333333,6.847546194724712,5.333333333333333,3.2998316455372216,5.333333333333333,4.784233364802441
250.0%,APERT,5.333333333333333,6.847546194724712,5.333333333333333,3.2998316455372216,5.333333333333333,4.784233364802441
250.0%,PD,4.0,4.96655480858378,3.3333333333333335,1.699673171197595,1.6666666666666667,1.699673171197595
250.0%,PEB,4.0,4.96655480858378,3.0,1.4142135623730951,2.3333333333333335,2.0548046676563256
